OBJECTID,REP_DATE,DOW,YEAR,NARCAN_ADM
3169,2020/11/25 05:00:00+00,Wednesday,2020,Unknown
3170,2021/09/13 04:00:00+00,Monday,2021,N/A
3171,2022/01/23 05:00:00+00,Wednesday,2022,N/A
3172,2022/04/16 04:00:00+00,Monday,2022,N/A
3173,2018/08/31 04:00:00+00,Friday,2018,N/A
3174,2018/11/04 04:00:00+00,Sunday,2018,N/A
3175,2018/10/26 04:00:00+00,Friday,2018,N/A
3176,2017/11/30 05:00:00+00,Thursday,2017,N/A
3177,2020/05/27 04:00:00+00,Wednesday,2020,N/A
3178,2020/08/07 04:00:00+00,Friday,2020,N/A
3179,2020/09/23 04:00:00+00,Wednesday,2020,No
3180,2021/05/16 04:00:00+00,Sunday,2021,Yes
3181,2021/06/17 04:00:00+00,Thursday,2021,Yes
3182,2021/07/08 04:00:00+00,Thursday,2021,Yes
3183,2021/11/04 04:00:00+00,Thursday,2021,N/A
3184,2022/02/20 05:00:00+00,Saturday,2022,N/A
3185,2022/05/18 04:00:00+00,Wednesday,2022,Yes
3186,2022/06/04 04:00:00+00,Monday,2022,Yes
3187,2022/10/25 04:00:00+00,Tuesday,2022,Yes
3188,2022/12/22 05:00:00+00,Thursday,2022,Yes
3189,2017/06/29 04:00:00+00,Thursday,2017,N/A
3190,2017/06/29 04:00:00+00,Thursday,2017,N/A
3191,2017/12/04 05:00:00+00,Monday,2017,N/A
3192,2022/04/22 04:00:00+00,Saturday,2022,N/A
3193,2021/09/27 04:00:00+00,Monday,2021,N/A
3194,2018/10/04 04:00:00+00,Thursday,2018,N/A
3195,2017/05/04 04:00:00+00,Thursday,2017,N/A
3196,2018/12/03 05:00:00+00,Monday,2018,N/A
3197,2019/11/27 05:00:00+00,Wednesday,2019,N/A
3198,2020/02/25 05:00:00+00,Tuesday,2020,N/A
3199,2020/04/23 04:00:00+00,Thursday,2020,N/A
3200,2021/01/17 05:00:00+00,Sunday,2021,Yes
3201,2019/11/03 04:00:00+00,Sunday,2019,N/A
3202,2022/03/15 04:00:00+00,Monday,2022,Yes
3203,2021/02/04 05:00:00+00,Thursday,2021,Yes
3204,2017/04/10 04:00:00+00,Monday,2017,N/A
3205,2017/05/01 04:00:00+00,Monday,2017,N/A
3206,2020/07/20 04:00:00+00,Monday,2020,N/A
3207,2021/04/27 04:00:00+00,Tuesday,2021,Unknown
3208,2020/05/31 04:00:00+00,Sunday,2020,N/A
3209,2021/05/10 04:00:00+00,Monday,2021,No
3210,2021/05/01 04:00:00+00,Saturday,2021,Yes
3211,2021/07/05 04:00:00+00,Monday,2021,No
3212,2020/08/03 04:00:00+00,Monday,2020,N/A
3213,2018/05/20 04:00:00+00,Sunday,2018,N/A
3214,2019/08/03 04:00:00+00,Saturday,2019,N/A
3215,2020/08/15 04:00:00+00,Saturday,2020,N/A
3216,2022/02/20 05:00:00+00,Sunday,2022,Yes
3217,2022/07/31 04:00:00+00,Thursday,2022,Yes
3218,2019/04/18 04:00:00+00,Thursday,2019,N/A
3219,2019/02/23 05:00:00+00,Saturday,2019,N/A
3220,2020/07/22 04:00:00+00,Wednesday,2020,N/A
3221,2020/10/04 04:00:00+00,Sunday,2020,Yes
3222,2021/03/29 04:00:00+00,Monday,2021,Yes
3223,2021/05/14 04:00:00+00,Friday,2021,No
3224,2021/12/03 05:00:00+00,Friday,2021,N/A
3225,2022/01/04 05:00:00+00,Monday,2022,Yes
3226,2022/01/12 05:00:00+00,Wednesday,2022,Yes
3227,2022/01/28 05:00:00+00,Wednesday,2022,Yes
3228,2022/01/28 05:00:00+00,Sunday,2022,N/A
3229,2022/04/03 04:00:00+00,Tuesday,2022,N/A
3230,2022/06/18 04:00:00+00,Friday,2022,Yes
3231,2022/08/09 04:00:00+00,Thursday,2022,Yes
3232,2022/10/18 04:00:00+00,Monday,2022,Yes
3233,2021/10/05 04:00:00+00,Tuesday,2021,Yes
3234,2018/03/28 04:00:00+00,Wednesday,2018,N/A
3235,2020/08/31 04:00:00+00,Monday,2020,N/A
3236,2020/04/27 04:00:00+00,Monday,2020,N/A
3237,2020/10/02 04:00:00+00,Friday,2020,Yes
3238,2022/08/08 04:00:00+00,Saturday,2022,Yes
3239,2022/11/26 05:00:00+00,Sunday,2022,Yes
3240,2018/08/26 04:00:00+00,Sunday,2018,N/A
3241,2017/07/28 04:00:00+00,Friday,2017,N/A
3242,2019/10/04 04:00:00+00,Friday,2019,N/A
3243,2021/06/30 04:00:00+00,Wednesday,2021,Unknown
3244,2019/07/05 04:00:00+00,Friday,2019,N/A
3245,2022/07/11 04:00:00+00,Wednesday,2022,Yes
3246,2022/10/01 04:00:00+00,Sunday,2022,Yes
3247,2022/05/10 04:00:00+00,Friday,2022,N/A
3248,2017/11/16 05:00:00+00,Thursday,2017,N/A
3249,2017/11/16 05:00:00+00,Thursday,2017,N/A
3250,2019/12/01 05:00:00+00,Sunday,2019,N/A
3251,2019/02/24 05:00:00+00,Sunday,2019,N/A
3252,2021/09/04 04:00:00+00,Saturday,2021,Yes
3253,2022/11/07 05:00:00+00,Wednesday,2022,N/A
3254,2017/08/15 04:00:00+00,Tuesday,2017,N/A
3255,2020/08/31 04:00:00+00,Monday,2020,N/A
3256,2021/08/14 04:00:00+00,Saturday,2021,Yes
3257,2018/03/26 04:00:00+00,Monday,2018,N/A
3258,2019/04/07 04:00:00+00,Sunday,2019,N/A
3259,2019/09/07 04:00:00+00,Saturday,2019,N/A
3260,2020/05/06 04:00:00+00,Wednesday,2020,N/A
3261,2020/11/09 05:00:00+00,Monday,2020,Yes
3262,2021/03/14 05:00:00+00,Sunday,2021,Yes
3263,2019/07/19 04:00:00+00,Friday,2019,N/A
3264,2019/08/07 04:00:00+00,Wednesday,2019,N/A
3265,2018/02/06 05:00:00+00,Tuesday,2018,N/A
3266,2019/06/11 04:00:00+00,Tuesday,2019,N/A
3267,2021/07/10 04:00:00+00,Saturday,2021,Yes
3268,2021/07/20 04:00:00+00,Tuesday,2021,N/A
3269,2017/10/07 04:00:00+00,Saturday,2017,N/A
3270,2019/05/10 04:00:00+00,Friday,2019,N/A
3271,2019/08/01 04:00:00+00,Thursday,2019,N/A
3272,2021/06/15 04:00:00+00,Tuesday,2021,No
3273,2021/08/30 04:00:00+00,Monday,2021,N/A
3274,2022/07/16 04:00:00+00,Tuesday,2022,N/A
3275,2017/08/01 04:00:00+00,Tuesday,2017,N/A
3276,2020/02/13 05:00:00+00,Thursday,2020,N/A
3277,2022/06/13 04:00:00+00,Saturday,2022,Yes
3278,2022/09/03 04:00:00+00,Friday,2022,N/A
3279,2021/11/15 05:00:00+00,Monday,2021,Yes
3280,2017/10/06 04:00:00+00,Friday,2017,N/A
3281,2017/11/22 05:00:00+00,Wednesday,2017,N/A
3282,2019/04/24 04:00:00+00,Wednesday,2019,N/A
3283,2019/10/30 04:00:00+00,Wednesday,2019,N/A
3284,2020/02/14 05:00:00+00,Friday,2020,N/A
3285,2020/03/25 04:00:00+00,Wednesday,2020,N/A
3286,2020/03/30 04:00:00+00,Monday,2020,N/A
3287,2020/06/04 04:00:00+00,Thursday,2020,N/A
3288,2020/10/13 04:00:00+00,Tuesday,2020,No
3289,2020/10/21 04:00:00+00,Wednesday,2020,No
3290,2021/04/11 04:00:00+00,Sunday,2021,No
3291,2020/11/20 05:00:00+00,Friday,2020,Yes
3292,2018/12/21 05:00:00+00,Friday,2018,N/A
3293,2019/02/01 05:00:00+00,Friday,2019,N/A
3294,2019/06/02 04:00:00+00,Sunday,2019,N/A
3295,2021/09/19 04:00:00+00,Sunday,2021,Yes
3296,2021/06/10 04:00:00+00,Thursday,2021,Unknown
3297,2022/01/10 05:00:00+00,Wednesday,2022,N/A
3298,2017/06/29 04:00:00+00,Thursday,2017,N/A
3299,2018/12/07 05:00:00+00,Friday,2018,N/A
3300,2019/11/02 04:00:00+00,Saturday,2019,N/A
3301,2019/10/25 04:00:00+00,Friday,2019,N/A
3302,2017/11/06 05:00:00+00,Monday,2017,N/A
3303,2018/08/10 04:00:00+00,Friday,2018,N/A
3304,2019/06/18 04:00:00+00,Tuesday,2019,N/A
3305,2021/07/24 04:00:00+00,Saturday,2021,N/A
3306,2021/08/01 04:00:00+00,Sunday,2021,Yes
3307,2018/07/27 04:00:00+00,Friday,2018,N/A
3308,2020/03/26 04:00:00+00,Thursday,2020,N/A
3309,2017/06/01 04:00:00+00,Thursday,2017,N/A
3310,2017/11/18 05:00:00+00,Saturday,2017,N/A
3311,2021/05/20 04:00:00+00,Thursday,2021,Yes
3312,2022/02/04 05:00:00+00,Friday,2022,Yes
3313,2021/10/30 04:00:00+00,Saturday,2021,N/A
